text_asli,removed_noise,removed_alay,removed_stopwords,Label
"new normal tp gk new moral
ah elah","tp gk moral
ah elah","tapi enggak moral
ah elah","moral 
 ah elah",negatif
"@kompastv tuh kan new normal mereka beda sama pikiran gw. new normal gw kapasitas penumpang kendaraan 50 persen ongkosnya 2 kali lipat. tau dah sapa yang bego. kejadian pasar anyar bogor  itu pelanggaran banyak pasal ya undang2, kuhp, pergub, perda? ada yg dihukum ?dikarantina aja kaga.","tuh kan mereka beda sama pikiran gw. gw kapasitas penumpang kendaraan 50 persen ongkosnya 2 kali lipat. tau dah sapa yang bego. kejadian pasar anyar bogor itu pelanggaran banyak pasal ya undang2, kuhp, pergub, perda? ada yg dihukum ?dikarantina aja kaga.","tuh kan mereka beda sama pikiran gw. gue kapasitas penumpang kendaraan 50 persen ongkosnya 2 kali lipat. tau deh sapa yang bego. kejadian pasar anyar bogor itu pelanggaran banyak pasal ya undang2, kuhp, pergub, perda? ada yang dihukum ?dikarantina saja kaga.","beda pikiran . kapasitas penumpang kendaraan 50 persen ongkosnya 2 kali lipat . tau deh sapa bego . kejadian pasar anyar bogor pelanggaran pasal undang2 , kuhp , pergub , perda ? dihukum ? dikarantina kaga .",negatif
"pemerintah berencana menjalankan kebijakan new normal. namun ironisnya, persepsi tentang new normal di jajaran pemerintah pusat dan daerah pun belum seirama #hlkompasiana https://t.co/mtmhpo73ut","pemerintah berencana menjalankan kebijakan normal. namun ironisnya, persepsi tentang di jajaran pemerintah pusat dan daerah pun belum seirama #hlkompasiana","pemerintah berencana menjalankan kebijakan normal. namun ironisnya, persepsi tentang di jajaran pemerintah pusat dan daerah pun belum seirama #hlkompasiana","pemerintah berencana menjalankan kebijakan . ironisnya , persepsi jajaran pemerintah pusat daerah seirama #hlkompasiana",negatif
"kawan! era new normal ini bukan berarti panfemi virus corona telah usai. justru kita memasuki babak baru untuk lebih waspada, mengingat sejumlah sektor perekonomian mulai dibuka dan interaksi antar person  mulai meningkat

foto: @aldiar__16 
lokasi: desa wonorejo, balongpanggang https://t.co/famgzsljd5","kawan! era ini bukan berarti panfemi virus corona telah usai. justru kita memasuki babak baru untuk lebih waspada, mengingat sejumlah sektor perekonomian mulai dibuka dan interaksi antar person mulai meningkat

foto: lokasi: desa wonorejo, balongpanggang","kawan! era ini bukan berarti panfemi virus corona telah usai. justru kita memasuki babak baru untuk lebih waspada, mengingat sejumlah sektor perekonomian mulai dibuka dan interaksi antar person mulai meningkat

foto: lokasi: desa wonorejo, balongpanggang","kawan ! era panfemi virus corona . memasuki babak waspada , sektor perekonomian dibuka interaksi person meningkat 

 foto : lokasi : desa wonorejo , balongpanggang",positif
"@fikritaning oiya dong, pecah rekor seribu
ah korsel 38 aja ketar ketir, indo 1000an  santuy udah new normal","oiya dong, pecah rekor seribu
ah korsel 38 aja ketar ketir, indo 1000an santuy udah","oiya dong, pecah rekor seribu
ah korsel 38 saja ketar ketir, indonesia 1000an santuy sudah","oiya , pecah rekor seribu 
 ah korsel 38 ketar ketir , indonesia 1000an santuy",negatif
"@rahmadnurh tp bukannya kondisi real ekonomi lg turun ya? index naik kayaknya krn sentimen positif new normal + stimulus2, ya gak sih? jd bisa aja koreksi dalem lg. cmiiw. hehe, fomo nih, lol.","tp bukannya kondisi real ekonomi lg turun ya? index naik kayaknya krn sentimen positif + stimulus2, ya gak sih? jd bisa aja koreksi dalem lg. cmiiw. hehe, fomo nih, lol.","tapi bukannya kondisi real ekonomi lagi turun ya? index naik kayaknya karena sentimen positif + stimulus2, ya enggak sih? jadi bisa saja koreksi dalem lg. cmiiw. hehe, fomo nih, lol.","kondisi real ekonomi turun ? index kayaknya sentimen positif + stimulus2 , ? koreksi dalem . cmiiw . hehe , fomo , lol .",negatif
"@kemalyf nah bisa jadi itu juga sih, diliat seminggu 2 minggu ke depan makin melonjak atau engga. tp mau new normal atau engga juga dari awal udah ga jelas jd berasa sama aja 😌","nah bisa jadi itu juga sih, diliat seminggu 2 minggu ke depan makin melonjak atau engga. tp mau atau engga juga dari awal udah ga jelas jd berasa sama aja 😌","nah bisa jadi itu juga sih, dilihat seminggu 2 minggu ke depan makin melonjak atau engga. tapi mau atau enggak juga dari awal sudah enggak jelas jadi berasa sama saja 😌",", seminggu 2 minggu melonjak engga . berasa 😌",negatif
"@shmursalim @kholismalik heran aja sdh tau kapsitas gerbong cuma 50% yg boleh diisi, bukannya ditambah gerbong dan frekwensi keberangkatan, yg ada malah dikurangi. pengennya new normal yg ada malah new cluster covid-19","heran aja sdh tau kapsitas gerbong cuma 50% yg boleh diisi, bukannya ditambah gerbong dan frekwensi keberangkatan, yg ada malah dikurangi. pengennya yg ada malah cluster covid-19","heran saja sudah tau kapsitas gerbong cuma 50% yang boleh diisi, bukannya ditambah gerbong dan frekwensi keberangkatan, yang ada malah dikurangi. pengennya yang ada malah cluster covid-19","heran tau kapsitas gerbong 50 % diisi , ditambah gerbong frekwensi keberangkatan , dikurangi . pengennya cluster covid - 19",negatif
"sesat pikir 85

new normal itu perpaduan teori adam smith dan charles darwin. doktrinnya, free market social darwinism","sesat pikir 85

new itu perpaduan teori adam smith dan charles darwin. doktrinnya, free market social darwinism","sesat pikir 85

new itu perpaduan teori adam smith dan charles darwin. doktrinnya, free market social darwinism","sesat pikir 85 

 perpaduan teori adam smith charles darwin . doktrinnya , free market social darwinism",negatif
new normal = kepasrahan pemerintah akibat lalai dan underestimated dari awal + masyarakat yang mayoritas gabisa diatur https://t.co/gtsu14fhxe,#ERROR!,#ERROR!,#ERROR!,negatif
"@nirmalakp new normal itu bukan tentang ngelonggarin psbb doang sih, tapi tentang cara kita menyesuaikan sama kondisi gini, yg bisnis tadinya offline ganti jadi online, les private yg tadinya tatap muka jadi online itu kan jadi hal baru yg bakal biasa kedepannya","itu bukan tentang ngelonggarin psbb doang sih, tapi tentang cara kita menyesuaikan sama kondisi gini, yg bisnis tadinya offline ganti jadi online, les private yg tadinya tatap muka jadi online itu kan jadi hal baru yg bakal biasa kedepannya","itu bukan tentang ngelonggarin psbb doang sih, tapi tentang cara kita menyesuaikan sama kondisi gini, yang bisnis tadinya offline ganti jadi online, les private yang tadinya tatap muka jadi online itu kan jadi hal baru yang bakal biasa kedepannya","ngelonggarin psbb doang , menyesuaikan kondisi gini , bisnis offline ganti online , les private tatap muka online kedepannya",positif
"@nirmalakp mau psbb kek,newnormal kek, kalo rakyatnya ttp ndableg ya sm aja lah. new normal kan jg nerapin protokol kesehatan yg ketat jd aman"" aja kalo rakyatnya patuh, lagian kalo kita gada gerakan malah perekonomian indonesia makin terpuruk bro, bisabisa krisis","mau psbb kek,newnormal kek, kalo rakyatnya ttp ndableg ya sm aja lah. kan jg nerapin protokol kesehatan yg ketat jd aman"" aja kalo rakyatnya patuh, lagian kalo kita gada gerakan malah perekonomian indonesia makin terpuruk bro, bisabisa krisis","mau psbb kek,newnormal kek, kalo rakyatnya tetap ndableg ya sama saja lah. kan juga nerapin protokol kesehatan yang ketat jadi aman"" saja kalo rakyatnya patuh, lagian kalo kita enggak ada gerakan malah perekonomian indonesia makin terpuruk bro, bisabisa krisis","psbb , , rakyatnya ndableg . nerapin protokol kesehatan ketat aman "" rakyatnya patuh , gerakan perekonomian indonesia terpuruk , bisabisa krisis",positif
"@cnnindonesia yg dicabut hny lockdown dlm negeri.
semua pintu perbatasan msh ttp ditutup total, aplg u warga china, sampai waktu yg blm ditentukan.
utk wni sptnya gak akan dpt visa u waktu yg sangat lama!
mrk tdk akan percaya policy new normal ala boneka pinokio pesek.
mrk melindungi rakyatnya","yg dicabut hny lockdown dlm negeri.
semua pintu perbatasan msh ttp ditutup total, aplg u warga china, sampai waktu yg blm ditentukan.
utk wni sptnya gak akan dpt visa u waktu yg sangat lama!
mrk tdk akan percaya policy ala boneka pinokio pesek.
mrk melindungi rakyatnya","yang dicabut hanya lockdown dalam negeri.
semua pintu perbatasan masih tetap ditutup total, aplg lu warga china, sampai waktu yang belum ditentukan.
utk wni sptnya enggak akan dapat visa lu waktu yang sangat lama!
mrk tidak akan percaya policy ala boneka pinokio pesek.
mrk melindungi rakyatnya","dicabut lockdown negeri . 
 pintu perbatasan ditutup total , aplg warga china , ditentukan . 
 wni sptnya visa ! 
 mrk percaya policy ala boneka pinokio pesek . 
 mrk melindungi rakyatnya",positif
11 barang yang harus dibawa saat new normal https://t.co/bsflnptzud,11 barang yang harus dibawa saat,11 barang yang harus dibawa saat,11 barang dibawa,positif
bissmilah indah ny berbagi..pagi hari ini pak katambusahany sedang d ujung tanduk karena dampak covid19..beliau usaha d bidang transportasi.. sedikit ad suntikan modal semoga bisa bertahan..dan bisa bertahan ..semangat buat kita semua terus berjuang dengan tatanan baru new normal https://t.co/il3wo5rrei,bissmilah indah ny berbagi..pagi hari ini pak katambusahany sedang d ujung tanduk karena dampak covid19..beliau usaha d bidang transportasi.. sedikit ad suntikan modal semoga bisa bertahan..dan bisa bertahan ..semangat buat kita semua terus berjuang dengan tatanan baru,bissmilah indah nya berbagi..pagi hari ini pak katambusahany sedang di ujung tanduk karena dampak covid19..beliau usaha di bidang transportasi.. sedikit ada suntikan modal semoga bisa bertahan..dan bisa bertahan ..semangat buat kita semua terus berjuang dengan tatanan baru,bissmilah indah berbagi .. pagi katambusahany ujung tanduk dampak covid19 .. beliau usaha bidang transportasi .. suntikan modal semoga bertahan .. bertahan .. semangat berjuang tatanan,positif
"@kompascom new normal,solusi atau malapetaka???","normal,solusi atau malapetaka???","normal,solusi atau malapetaka???",", solusi malapetaka ? ? ?",negatif
"hari pertama new normal, gedung baru pula, semoga ga nyasar.. 🙏🏻","hari pertama normal, gedung baru pula, semoga ga nyasar.. 🙏🏻","hari pertama normal, gedung baru pula, semoga enggak nyasar.. 🙏🏻",", gedung , semoga nyasar .. 🙏 🏻",netral
yang kaya gini masih kekeuh nerapin new normal https://t.co/eoybxibkde,yang kaya gini masih kekeuh nerapin,yang kayak begini masih kekeuh nerapin,kekeuh nerapin,negatif
"new normal?

sudah siapkah kita untuk masuk ke tahap new normal?

setelah kurang lebih hampir 4 bulan lamanya, pemerintah melakukan psbb di beberapa titik wilayah yang rentan kasus penyebaran virus corona. kini… https://t.co/eivjfnwuda","normal?

sudah siapkah kita untuk masuk ke tahap normal?

setelah kurang lebih hampir 4 bulan lamanya, pemerintah melakukan psbb di beberapa titik wilayah yang rentan kasus penyebaran virus corona. kini…","normal?

sudah siapkah kita untuk masuk ke tahap normal?

setelah kurang lebih hampir 4 bulan lamanya, pemerintah melakukan psbb di beberapa titik wilayah yang rentan kasus penyebaran virus corona. kini…","? 

 siapkah masuk tahap ? 

 4 , pemerintah psbb titik wilayah rentan penyebaran virus corona . …",netral
"ian douglas wilson, seorang pengamat politik indonesia khususnya orde baru dengan tulisannya yang mengkritisi new normal grusah grusuh ala indonesia https://t.co/dewpowlqb7","ian douglas wilson, seorang pengamat politik indonesia khususnya orde baru dengan tulisannya yang mengkritisi grusah grusuh ala indonesia","ian douglas wilson, seorang pengamat politik indonesia khususnya orde baru dengan tulisannya yang mengkritisi grusah grusuh ala indonesia","ian douglas wilson , pengamat politik indonesia orde tulisannya mengkritisi grusah grusuh ala indonesia",negatif
"@satubsd 1. new normal
2. masker
3. psbb
@ismanto_danie 
@fajarrmartaa 
@hellenzhu04 
@ilmanf97 
@mithaprstw 
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd","1. normal
2. masker
3. #giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd","1. normal
2. masker
3. #giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd","1 . 
 2 . masker 
 3 . #giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd",positif
"new normal adalah dimana kita hidup berdampingan dengan virus sambil mematuhi protokol kesehatan.
tembus 1000 indonesia new normal adalah dimana semua orang terkena virus.","adalah dimana kita hidup berdampingan dengan virus sambil mematuhi protokol kesehatan.
tembus 1000 indonesia adalah dimana semua orang terkena virus.","adalah dimana kita hidup berdampingan dengan virus sambil mematuhi protokol kesehatan.
tembus 1000 indonesia adalah dimana semua orang terkena virus.","dimana hidup berdampingan virus mematuhi protokol kesehatan . 
 tembus 1000 indonesia dimana orang terkena virus .",negatif
"ga mau new normal, maunya new relationship.","ga mau normal, maunya relationship.","enggak mau normal, maunya relationship.",", maunya relationship .",netral
"@candraasmara85 maunya mereka apa sih?? 
pada paham new normal kagak ?apa cuma asal demo aja..",maunya mereka apa sih?? pada paham kagak ?apa cuma asal demo aja..,maunya mereka apa sih?? pada paham kagak ?apa cuma asal demo aja..,maunya ? ? paham ? demo ..,negatif
@jatimpemprov @khofifahip @emildardak @jatimcettar_ @kominfojatim jangan sampai kendor utk menerapkan protokol kesehatan. apalagi kita akan melakukan new normal.,jangan sampai kendor utk menerapkan protokol kesehatan. apalagi kita akan melakukan normal.,jangan sampai kendor untuk menerapkan protokol kesehatan. apalagi kita akan melakukan normal.,kendor menerapkan protokol kesehatan . .,positif
"@satubsd 1. new normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd
@ismanto_danie 
@iznieocti 
@fajarrmartaa 
@hellenzhu04 
@ayoesfa","1. normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz","1. normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz","1 . 
 2 . masker 
 3 . psbb 
 #giveaway #giveawayindonesia #kuisberhadiah #bsdquiz",positif
"@veryfing @leoboisz @rxrnxx @nirmalakp nah bagus nih pemikirannya, org yg nolak new normal tuh pasti orang yg berduit, mereka g mentingin rakyat bawah yang udah kehilangan kerjaan","nah bagus nih pemikirannya, org yg nolak tuh pasti orang yg berduit, mereka g mentingin rakyat bawah yang udah kehilangan kerjaan","nah bagus nih pemikirannya, orang yang nolak tuh pasti orang yang berduit, mereka enggak mentingin rakyat bawah yang sudah kehilangan pekerjaan","bagus pemikirannya , orang nolak orang berduit , mentingin rakyat kehilangan pekerjaan",negatif
"sepertinya di indonesia new normal adalah herd immunity...

kalo saat ini confirmed case positif +1.000 per hari, di era gelombang kedua yang bakal terjadi tak lama lagi, mungkin bisa +5.000-an lah. 

bersiap untuk era horor yang baru.
ayo top up imunitasmu! 💪💪","sepertinya di indonesia adalah herd immunity...

kalo saat ini confirmed case positif +1.000 per hari, di era gelombang kedua yang bakal terjadi tak lama lagi, mungkin bisa +5.000-an lah. bersiap untuk era horor yang baru.
ayo top up imunitasmu! 💪💪","sepertinya di indonesia adalah herd immunity...

kalo saat ini confirmed case positif +1.000 per hari, di era gelombang kedua yang bakal terjadi tak lama lagi, mungkin bisa +5.000-an lah. bersiap untuk era horor yang baru.
ayo top up imunitasmu! 💪💪","indonesia herd immunity ... 

 confirmed case positif +1.000 , era gelombang , +5.000 - an . era horor . 
 ayo top up imunitasmu ! 💪 💪",negatif
new normal smpn 2 gambiran https://t.co/f993m5se2e,smpn 2 gambiran,smpn 2 gambiran,smpn 2 gambiran,netral
"bangun pagi trus buka hp, langsung login vlm dong bener2 definisi 'new normal'","bangun pagi trus buka hp, langsung login vlm dong bener2 definisi 'new normal'","bangun pagi terus buka hp, langsung login vlm dong benar-benar definisi 'new normal'","bangun pagi buka hp , langsung login vlm benar-benar definisi ' '",netral
"new normal = cara agar roda ekonomi bergerak lagi. jadi tdk ada hubungannya dgn meredanya wabah. faktanya, malah semakin memburuk

bagi yg hrs ke luar rumah / kembali bekerja, tetap waspada &amp; patuhi protokol covid. yg msh wfh, ya #dirumahaja 

krn kehidupan hrs tetap berjalan",#ERROR!,#ERROR!,#ERROR!,positif
"kalian menyebut itu new normal,w menyebutnya sebagai angkat tangannya pemerintah untuk memberi makan rakyatnya.atau new normal adalah jalan menuju herd immunity ya? https://t.co/ccs4x3omnn","kalian menyebut itu normal,w menyebutnya sebagai angkat tangannya pemerintah untuk memberi makan rakyatnya.atau adalah jalan menuju herd immunity ya?","kalian menyebut itu normal,w menyebutnya sebagai angkat tangannya pemerintah untuk memberi makan rakyatnya.atau adalah jalan menuju herd immunity ya?","menyebut , w menyebutnya angkat tangannya pemerintah makan rakyatnya.atau jalan herd immunity ?",negatif
"bersatu menuju indonesia new normal

#bersatumelawancovid19
#polriuntukindonesia 
#divhumaspolri 
#humaspoldantb 
#humaspolreslobar https://t.co/cfksbo3jkv","bersatu menuju indonesia normal

#bersatumelawancovid19
#polriuntukindonesia #divhumaspolri #humaspoldantb #humaspolreslobar","bersatu menuju indonesia normal

#bersatumelawancovid19
#polriuntukindonesia #divhumaspolri #humaspoldantb #humaspolreslobar","bersatu indonesia 

 #bersatumelawancovid19 
 #polriuntukindonesia #divhumaspolri #humaspoldantb #humaspolreslobar",positif
@drpriono jadi yang benar yang mana dok.. new normal (kenormalan baru) atau norma baru?,jadi yang benar yang mana dok.. (kenormalan baru) atau norma baru?,jadi yang benar yang mana dok.. (kenormalan baru) atau norma baru?,dok .. ( kenormalan ) norma ?,netral
"@septianaa279 @kholismalik iyaa emg kmaren senin penumpangnya luar biasa, itu udah 'normal' sih.
kalo 'normal' diadaptasi ke protokol 'new normal' ya kyk gitu jadinya.
tapi kmaren selasa udah kondusif kok itu.","iyaa emg kmaren senin penumpangnya luar biasa, itu udah 'normal' sih.
kalo 'normal' diadaptasi ke protokol 'new normal' ya kyk gitu jadinya.
tapi kmaren selasa udah kondusif kok itu.","iya memang kemarin senin penumpangnya luar biasa, itu sudah 'normal' sih.
kalo 'normal' diadaptasi ke protokol 'new normal' ya kayak begitu jadinya.
tapi kemarin selasa sudah kondusif kok itu.","iya kemarin senin penumpangnya , ' ' . 
 ' ' diadaptasi protokol ' ' . 
 kemarin selasa kondusif .",positif
@atikadst alahh udah new normal,alahh udah,alahh sudah,alahh,netral
bedanya new normal sama normal di kehidupan ini apaan si selain pake masker sama scan barcode?🤣,bedanya sama di kehidupan ini apaan si selain pake masker sama scan barcode?🤣,bedanya sama di kehidupan ini apaan sih selain pakai masker sama scan barcode?🤣,bedanya kehidupan pakai masker scan barcode ? 🤣,netral
"@iladwip yah kadang2 rame, kadang juga sepi book. itupun sepi krn sekolahan libur, tp yg lain biasa aja. soalnya kota kecil nih. ini jg psbb ga bakal ngaruh2 amat juga kayanya 🙄. btw di sana gmn? new normal? 😬","yah kadang2 rame, kadang juga sepi book. itupun sepi krn sekolahan libur, tp yg lain biasa aja. soalnya kota kecil nih. ini jg psbb ga bakal ngaruh2 amat juga kayanya 🙄. btw di sana gmn? normal? 😬","ya kadang2 rame, kadang juga sepi book. itupun sepi karena sekolahan libur, tapi yang lain biasa aja. soalnya kota kecil nih. ini juga psbb enggak bakal ngaruh2 amat juga kayanya 🙄. btw di sana gmn? normal? 😬","kadang2 rame , kadang sepi book . itupun sepi sekolahan libur , . kota . psbb ngaruh2 kayanya 🙄 . btw gmn ? ? 😬",netral
"new normal, semoga covid cepat berlalu .,","normal, semoga covid cepat berlalu .,","normal, semoga covid cepat berlalu .,",", semoga covid cepat . ,",positif
"new normal, asn di siak kembali bekerja seperti biasa
https://t.co/zxmjg2wwvd https://t.co/r9bowvgrxv","normal, asn di siak kembali bekerja seperti","normal, asn di siak kembali bekerja seperti",", asn siak",positif
@humas_jogja gassss.... lanjutkan yg sdh disusun jangan sampai krn new normal semua jadi terbebani.,gassss.... lanjutkan yg sdh disusun jangan sampai krn semua jadi terbebani.,gassss.... lanjutkan yang sudah disusun jangan sampai karena semua jadi terbebani.,gassss .... lanjutkan disusun terbebani .,positif
"skrg kasus bertambah terus, penanganan lamban, tp ada kebijaka new normal pd gaabis pikir, mengkritik abisabisan.","skrg kasus bertambah terus, penanganan lamban, tp ada kebijaka pd gaabis pikir, mengkritik abisabisan.","sekarang kasus bertambah terus, penanganan lamban, tapi ada kebijaka pada gaabis pikir, mengkritik abisabisan.","bertambah , penanganan lamban , kebijaka gaabis pikir , mengkritik abisabisan .",negatif
"@satubsd 1. new normal 
2.masker 
3. psbb
yuk ikutan kuis
@budi_rohiman @ayu_zevanna1623 @atharerna @simoch_a @simonjufr #kuisbsd #bsdquiz","1. 2.masker 3. psbb
yuk ikutan #kuisbsd #bsdquiz","1. 2.masker 3. psbb
yuk ikutan #kuisbsd #bsdquiz","1 . 2.masker 3 . psbb 
 ikutan #kuisbsd #bsdquiz",positif
"barang yang harus disiapkan saat new normal  adalah b. masker

#kuisalfamart https://t.co/vz4pb0kr2y","barang yang harus disiapkan saat adalah b. masker

#kuisalfamart","barang yang harus disiapkan saat adalah b. masker

#kuisalfamart","barang disiapkan b. masker 

 #kuisalfamart",positif
new normal berhasil ngasih stimulas positif buat ihsg. i guess it's time for gold genks 🤣 ciduk ciduk ciduk.🤭,berhasil ngasih stimulas positif buat ihsg. i guess it's time for gold genks 🤣 ciduk ciduk ciduk.🤭,berhasil mengasih stimulas positif buat ihsg. i guess it's time for gold genks 🤣 ciduk ciduk ciduk.🤭,berhasil mengasih stimulas positif ihsg . i guess it ' time for gold genks 🤣 ciduk ciduk ciduk . 🤭,positif
meskipun new normal tp tida kepikiran mau kumpul2,meskipun tp tida kepikiran mau kumpul2,meskipun tapi tida kepikiran mau kumpul2,tida kepikiran kumpul2,positif
"morning troops.. it's morning view from cikarang station. i think it's gonna be our ""new normal"". cuma bisa berdoa semoga terlindungi dan sehat selalu. aamiiin..

#krlindonesia #commuterline #infokrl #infocikarang #stasiuncikarang #goodmorning #newnormalindonesia https://t.co/ackax4bbbj","morning troops.. it's morning view from cikarang station. i think it's gonna be our ""new normal"". cuma bisa berdoa semoga terlindungi dan sehat selalu. aamiiin..

#krlindonesia #commuterline #infokrl #infocikarang #stasiuncikarang #goodmorning #newnormalindonesia","morning troops.. it's morning view from cikarang station. i think it's gonna be our ""new normal"". cuma bisa berdoa semoga terlindungi dan sehat selalu. aamiiin..

#krlindonesia #commuterline #infokrl #infocikarang #stasiuncikarang #goodmorning #newnormalindonesia","morning troops .. it ' morning view from cikarang station . i think it ' gonna be our "" "" . berdoa semoga terlindungi sehat . aamiiin .. 

 #krlindonesia #commuterline #infokrl #infocikarang #stasiuncikarang #goodmorning #newnormalindonesia",positif
menanti hadirnya duta new normal kubu raya https://t.co/1ug2pt63yg,menanti hadirnya duta kubu raya,menanti hadirnya duta kubu raya,hadirnya duta kubu    raya,netral
"mending gausah pake rata2 dah, cek aja pemakaian meterannya. uda new normal, kerja dong. 
gile dirumah aja segini apa lagi usaha bapak w? mau berapa bayar listrik bapak w bulan ini kalo lu ambil rata2 3 bulan? suka ati lu ajadah @pln_123  
pagi2 emosi liyat tagihan listrik😑","mending gausah pake rata2 dah, cek aja pemakaian meterannya. uda normal, kerja dong. gile dirumah aja segini apa lagi usaha bapak w? mau berapa bayar listrik bapak w bulan ini kalo lu ambil rata2 3 bulan? suka ati lu ajadah pagi2 emosi liyat tagihan listrik😑","mending enggak usah pakai rata-rata dah, cek saja pemakaian meterannya. sudah normal, kerja dong. gila dirumah saja segini apa lagi usaha bapak w? mau berapa bayar listrik bapak gue bulan ini kalo lu ambil rata-rata 3 bulan? suka ati lu ajadah pagi2 emosi lihat tagihan listrik😑","mending pakai rata-rata , cek pemakaian meterannya . , kerja . gila dirumah segini usaha w ? bayar listrik ambil rata-rata 3 ? suka ati ajadah pagi2 emosi lihat tagihan listrik 😑",negatif
tembus 1000 ya...new normal...,tembus 1000 ya...new normal...,tembus 1000 ya...new normal...,tembus 1000 ... ...,negatif
"it is what it is, terlalu di push untuk new normal. kantor dan berpergian pesawat hanya bermodalkan hasil rapid test. padahal hasil rapid test itu tidak berlaku selamanya. over optimistic kadang lebih berbahaya. https://t.co/3wa1fk3mvl","it is what it is, terlalu di push untuk normal. kantor dan berpergian pesawat hanya bermodalkan hasil rapid test. padahal hasil rapid test itu tidak berlaku selamanya. over optimistic kadang lebih berbahaya.","itu is what itu is, terlalu di push untuk normal. kantor dan berpergian pesawat hanya bermodalkan hasil rapid test. padahal hasil rapid test itu tidak berlaku selamanya. over optimistic kadang lebih berbahaya.","is what is , push . kantor berpergian pesawat bermodalkan hasil rapid test . hasil rapid test berlaku . over optimistic kadang berbahaya .",negatif
"new normal sekali memang, jam 6 dah cus ke kantor karena kalo naik krl ngantri. berasa anak sultan we pp naik bumbum ☹","sekali memang, jam 6 dah cus ke kantor karena kalo naik krl ngantri. berasa anak sultan we pp naik bumbum ☹","sekali memang, jam 6 deh cus ke kantor karena kalo naik krl ngantri. berasa anak sultan we pp naik bumbum ☹",", jam 6 deh cus kantor krl ngantri . berasa anak sultan we pp bumbum ☹",netral
masyarakat yang akan bepergian dengan pesawat pada masa new normal covid-19 tidak perlu memiliki hasil tes polymerase chain reaction (pcr). syarat itu dilonggarkan lagi sehingga calon penumpang cukup membawa hasil tes cepat (rapid test),masyarakat yang akan bepergian dengan pesawat pada masa normal covid-19 tidak perlu memiliki hasil tes polymerase chain reaction (pcr). syarat itu dilonggarkan lagi sehingga calon penumpang cukup membawa hasil tes cepat (rapid test),masyarakat yang akan bepergian dengan pesawat pada masa normal covid-19 tidak perlu memiliki hasil tes polymerase chain reaction (pcr). syarat itu dilonggarkan lagi sehingga calon penumpang cukup membawa hasil tes cepat (rapid test),masyarakat bepergian pesawat    covid - 19    memiliki hasil tes polymerase chain reaction ( pcr ) . syarat dilonggarkan calon penumpang membawa hasil tes cepat ( rapid test ),netral
"""new normal""

hadirilah
_kalidandan bersholawat_

_bersama:syubbanul muslimin_
☆☆protokol kesehatan☆☆
#pakaimasker 
#jagajarak 
#cucitangan 
#jagakesehatan 

_b e r k a t  s h o l a w a t  i n d o n e s i a  s e l a m a t_ https://t.co/rdpjilh8hr","""new normal""

hadirilah
_kalidandan bersholawat_

_bersama:syubbanul muslimin_
☆☆protokol kesehatan☆☆
#pakaimasker #jagajarak #cucitangan #jagakesehatan _b e r k a t s h o l a w a t i n d o n e s i a s e l a m a t_","""new normal""

hadirilah
_kalidandan bersholawat_

_bersama:syubbanul muslimin_
☆☆protokol kesehatan☆☆
#pakaimasker #jagajarak #cucitangan #jagakesehatan _b e r ke a t si h o l a gue a t i n di o n e si i a si e l a sama a t_",""" "" 

 hadirilah 
 _ kalidandan bersholawat _ 

 _ : syubbanul muslimin _ 
 ☆ ☆ protokol kesehatan ☆ ☆ 
 #pakaimasker #jagajarak #cucitangan #jagakesehatan _ b e r a t si h o l a a t i n o n e si i a si e l a a t _",netral
"ini artikel jujur banget, pilihan pemerintah indonesia untuk 'new normal' dlam menyelematkan krisis ekonomi malah akn menjadi bumerang krisis ekonomi lebih dalam. ada banyak data kematian yang disembunyikan, mengurangi kapasitas test masal, dan dukungan yg salah akan jd bumerang. https://t.co/iwp84upmkq","ini artikel jujur banget, pilihan pemerintah indonesia untuk 'new normal' dlam menyelematkan krisis ekonomi malah akn menjadi bumerang krisis ekonomi lebih dalam. ada banyak data kematian yang disembunyikan, mengurangi kapasitas test masal, dan dukungan yg salah akan jd bumerang.","ini artikel jujur banget, pilihan pemerintah indonesia untuk 'new normal' dalam menyelematkan krisis ekonomi malah akan menjadi bumerang krisis ekonomi lebih dalam. ada banyak data kematian yang disembunyikan, mengurangi kapasitas test masal, dan dukungan yang salah akan jadi bumerang.","artikel jujur , pilihan pemerintah indonesia ' ' menyelematkan krisis ekonomi bumerang krisis ekonomi . data kematian disembunyikan , mengurangi kapasitas test masal , dukungan salah bumerang .",negatif
